time,open,high,low,close,tick_volume,spread,real_volume
2025-01-21 16:25:00,3325.2,3333.98,3323.81,3332.91,437,1,0
2025-01-21 16:30:00,3332.91,3335.43,3307.64,3308.65,721,1,0
2025-01-21 16:35:00,3308.65,3308.65,3280.44,3285.81,1166,1,0
2025-01-21 16:40:00,3285.81,3307.79,3279.09,3302.62,902,1,0
2025-01-21 16:45:00,3302.62,3312.49,3290.73,3303.44,827,1,0
2025-01-21 16:50:00,3303.48,3310.46,3292.38,3294.45,708,1,0
2025-01-21 16:55:00,3294.68,3299.18,3281.0,3289.41,649,1,0
2025-01-21 17:00:00,3289.41,3294.94,3273.6,3274.67,813,1,0
2025-01-21 17:05:00,3274.67,3286.49,3265.2,3281.6,969,1,0
2025-01-21 17:10:00,3281.56,3287.2,3268.12,3275.0,970,1,0
2025-01-21 17:15:00,3275.0,3288.21,3272.07,3288.17,821,1,0
2025-01-21 17:20:00,3288.21,3296.99,3285.58,3293.19,671,1,0
2025-01-21 17:25:00,3293.19,3302.08,3293.19,3298.89,504,1,0
2025-01-21 17:30:00,3298.89,3299.8,3291.67,3292.23,578,1,0
2025-01-21 17:35:00,3292.23,3292.23,3279.05,3287.0,634,1,0
2025-01-21 17:40:00,3287.0,3300.49,3285.14,3293.13,431,1,0
2025-01-21 17:45:00,3292.99,3293.85,3281.3,3283.5,417,1,0
2025-01-21 17:50:00,3283.5,3290.5,3278.92,3289.8,419,1,0
2025-01-21 17:55:00,3289.8,3297.25,3286.72,3295.1,382,1,0
2025-01-21 18:00:00,3295.1,3297.68,3290.5,3294.43,377,1,0
2025-01-21 18:05:00,3294.43,3327.5,3294.11,3321.3,582,1,0
2025-01-21 18:10:00,3321.3,3343.99,3320.42,3339.65,860,1,0
2025-01-21 18:15:00,3340.07,3349.16,3332.86,3341.97,952,1,0
2025-01-21 18:20:00,3341.97,3348.18,3334.06,3336.18,699,1,0
2025-01-21 18:25:00,3336.18,3339.19,3308.2,3316.51,825,1,0
2025-01-21 18:30:00,3316.5,3325.3,3315.36,3318.16,629,1,0
2025-01-21 18:35:00,3318.16,3323.76,3303.22,3312.15,633,1,0
2025-01-21 18:40:00,3312.15,3317.03,3307.93,3309.7,538,1,0
2025-01-21 18:45:00,3309.7,3320.79,3309.24,3318.76,333,1,0
2025-01-21 18:50:00,3318.76,3322.49,3313.65,3313.89,320,1,0
2025-01-21 18:55:00,3313.89,3316.2,3309.21,3313.86,323,1,0
2025-01-21 19:00:00,3313.84,3320.82,3311.9,3319.56,341,1,0
2025-01-21 19:05:00,3319.56,3323.99,3315.37,3323.42,269,1,0
2025-01-21 19:10:00,3323.42,3323.99,3319.81,3323.99,200,1,0
2025-01-21 19:15:00,3323.99,3326.71,3317.81,3319.49,242,1,0
2025-01-21 19:20:00,3319.49,3326.63,3318.3,3323.82,155,1,0
2025-01-21 19:25:00,3323.82,3324.95,3319.63,3320.35,181,1,0
2025-01-21 19:30:00,3320.35,3322.22,3307.97,3307.98,322,1,0
2025-01-21 19:35:00,3307.98,3315.52,3307.98,3315.42,275,1,0
2025-01-21 19:40:00,3315.42,3321.97,3313.51,3320.84,235,1,0
2025-01-21 19:45:00,3320.84,3339.56,3319.33,3338.47,529,1,0
2025-01-21 19:50:00,3339.99,3344.99,3334.5,3342.89,515,1,0
2025-01-21 19:55:00,3342.89,3356.58,3340.6,3351.0,489,1,0
2025-01-21 20:00:00,3351.0,3351.09,3340.01,3342.1,547,1,0
2025-01-21 20:05:00,3342.1,3344.49,3340.0,3342.0,393,1,0
2025-01-21 20:10:00,3342.0,3342.95,3334.66,3338.09,337,1,0
2025-01-21 20:15:00,3338.09,3348.72,3338.09,3340.85,265,1,0
2025-01-21 20:20:00,3340.85,3345.12,3336.34,3340.49,309,1,0
2025-01-21 20:25:00,3340.49,3341.04,3330.74,3333.43,319,1,0
2025-01-21 20:30:00,3333.43,3359.99,3332.0,3353.4,450,1,0
2025-01-21 20:35:00,3353.4,3367.99,3353.4,3357.61,580,1,0
